Building Type,Square Footage,Number of Occupants,Appliances Used,Average Temperature,Day of Week,Energy Consumption
Residential,0.0,76,10,29.84,Weekday,2428.9884017382265
Commercial,47156.331553643184,66,45,16.72,Weekday,5616.683011974656
Industrial,26399.974541454052,37,17,14.3,Weekend,3850.3454030670264
Residential,18122.76457445362,14,41,32.82,Weekday,3055.514572595597
Commercial,20350.955143157495,26,18,11.92,Weekday,3781.9740637619875
Commercial,36014.01014445816,26,32,16.24,Weekend,4363.8393266675985
Industrial,35636.450482993554,92,14,21.01,Weekend,5947.165480590151
Residential,30209.84572268788,60,18,28.24,Weekday,3788.024859236549
Industrial,29381.443222824044,99,44,13.08,Weekday,5485.654301949648
Residential,16961.46083042092,42,36,28.84,Weekday,3762.9322733117774
Commercial,29031.46403474131,71,14,11.3,Weekend,4705.81486979179
Commercial,46433.287733281766,4,44,25.38,Weekday,5563.92440773979
Residential,18279.433040713684,97,34,17.35,Weekday,3517.5870899218467
Residential,12823.87721340387,11,8,17.8,Weekend,2376.2848391434063
Residential,51925.010726288514,97,19,22.45,Weekend,5376.787702171639
Commercial,10070.206207706984,54,47,13.56,Weekend,3908.5671941341716
Commercial,3187.880792660796,34,44,24.62,Weekday,2911.4787977375245
Industrial,33638.12448037013,97,20,23.99,Weekend,5864.859354119881
Industrial,0.0,32,23,27.87,Weekday,3263.457470972609
Residential,19293.54415093217,19,48,22.67,Weekend,3834.3540684836275
Commercial,41479.74083362905,24,43,10.38,Weekday,5642.519323733942
Industrial,4253.068418861934,83,40,32.92,Weekday,5004.085409103459
Industrial,23182.95047206916,32,22,17.87,Weekday,4705.960402276351
Commercial,29831.905605651387,55,16,26.95,Weekend,3957.351776090639
Residential,42298.0555384173,39,27,18.67,Weekend,4733.006766090668
Industrial,51517.927123452915,22,7,31.95,Weekday,5432.779045756561
Residential,37005.059782188044,8,5,23.67,Weekend,3445.3172071628765
Industrial,40539.21280736607,63,12,29.54,Weekday,5647.783715523343
Residential,32607.96760199797,35,14,15.39,Weekend,2850.0843254034553
Residential,28647.313966652397,12,30,32.89,Weekend,3374.224677456932
Commercial,9618.263277827258,75,41,12.97,Weekday,4575.9202270825
Residential,50438.44549454359,22,36,15.41,Weekend,5097.577414466472
Commercial,12203.660959681782,24,34,24.93,Weekday,4203.7187272936
Industrial,35712.86995226118,2,13,11.36,Weekend,3962.909317298859
Residential,0.0,5,26,20.96,Weekday,1374.9529716094657
Residential,42758.28549254869,33,11,14.17,Weekday,4275.84417568939
Residential,9670.816540594915,25,26,21.34,Weekday,2605.6279300835104
Industrial,34704.119705114615,77,20,22.84,Weekend,5020.322688001809
Residential,2895.449620486459,31,13,15.09,Weekend,2346.408028085104
Residential,37410.80830322912,64,43,24.21,Weekday,5872.305981293864
Industrial,17664.55568431298,89,31,32.76,Weekend,4944.101138064789
Commercial,4804.6492417459895,58,35,10.34,Weekday,3791.9146253625145
Residential,26399.73545609415,85,21,29.36,Weekend,3906.5892028975427
Residential,43747.12696066032,20,30,31.23,Weekend,4037.69046758917
Industrial,45134.57844344384,85,45,12.92,Weekday,6145.60417551181
Industrial,19633.224562681477,73,26,14.95,Weekday,4480.972298343631
Industrial,44275.94085590237,99,18,33.43,Weekend,5617.897069405071
Residential,12242.54188710588,35,16,21.39,Weekday,3002.366234157041
Industrial,47842.85835169938,26,48,28.64,Weekend,6221.093439047138
Residential,43864.30511813411,63,13,18.75,Weekend,3973.330039719284
Residential,21905.810203386238,85,45,11.64,Weekday,3128.3595549063443
Commercial,0.0,2,24,18.69,Weekday,2889.439657640467
Industrial,37521.350629392015,3,13,13.09,Weekday,4244.299885140683
Residential,3214.6021783325946,78,10,28.31,Weekend,2038.7575466751055
Residential,15812.200379562852,21,17,31.54,Weekend,1953.2503059936894
Industrial,45204.88735085644,15,22,26.78,Weekday,5688.053522070275
Industrial,33296.177754332915,17,35,34.03,Weekend,5041.230560668987
Industrial,32135.141793730345,69,43,15.98,Weekend,5087.898451944623
Industrial,24908.041430622015,24,14,23.97,Weekend,4530.271522203186
Industrial,34124.61289830825,89,10,22.15,Weekend,4318.647715714177
Industrial,0.0,27,44,10.08,Weekday,4086.283695268599
Commercial,2585.0053937778766,89,32,31.24,Weekday,3853.477373436645
Industrial,33020.08960016637,78,22,15.51,Weekend,6240.774296973246
Commercial,12766.335049796133,33,20,25.24,Weekday,3716.4913595890375
Residential,17802.96377610634,84,41,25.93,Weekend,2938.558390319301
Commercial,34764.084031317616,10,22,15.14,Weekend,4285.681459066975
Commercial,4942.42602199817,25,47,25.8,Weekend,3287.8716965325684
Residential,38903.37223017882,57,47,17.34,Weekend,4904.850911877563
Residential,27669.678204112257,97,15,29.66,Weekday,3671.5089166796683
Industrial,38261.408778128476,44,19,11.91,Weekend,4894.013793620962
Industrial,40872.02706635834,75,35,26.86,Weekday,5948.475102247378
Industrial,25921.84399808623,6,33,17.4,Weekday,4530.860823958482
Residential,4670.8953399278225,2,22,20.11,Weekend,2866.5228543362728
Industrial,12924.987723838372,68,35,29.35,Weekend,4548.8215678755905
Commercial,9365.573399502367,73,7,20.74,Weekday,3880.8042721204747
Industrial,28682.139380652294,48,40,21.62,Weekend,4912.956453799979
Commercial,12447.289006523173,23,47,10.9,Weekend,3639.845094137314
Commercial,41544.42091430306,4,18,24.42,Weekday,4292.587507315405
Industrial,30308.686003267216,34,11,11.92,Weekday,5095.142111487804
Industrial,57230.92240529072,40,16,11.52,Weekday,5134.766329640531
Commercial,19305.45752353211,68,13,25.69,Weekday,4317.331627330745
Industrial,26013.642039302973,48,40,27.71,Weekday,3886.342042934134
Commercial,52511.260788572596,43,25,14.5,Weekday,5474.31475401836
Residential,38704.059065599395,77,3,32.58,Weekday,4948.674685765503
Commercial,29091.45572434458,44,19,22.34,Weekday,4038.8722345997962
Residential,25567.288450994944,59,33,32.21,Weekday,4001.7213569285777
Industrial,46329.57557484534,4,4,22.06,Weekday,4398.415701804533
Residential,1983.530070363878,22,45,24.88,Weekend,2028.1995439029024
Residential,0.0,21,24,15.0,Weekday,2821.134022126942
Commercial,23625.537079683912,22,32,25.42,Weekday,4080.598103573315
Residential,29341.40708876411,68,3,16.82,Weekend,3280.7170067450306
Commercial,18555.603099243952,24,24,17.95,Weekday,3023.544556168423
Industrial,4365.622433897792,86,32,15.79,Weekday,3176.7712601053363
Residential,30676.257511590826,55,2,10.62,Weekend,3106.2177112069203
Commercial,40518.973799443585,30,39,22.49,Weekend,5137.885162813194
Commercial,4526.1770809484005,68,3,33.63,Weekend,3271.4771755662073
Residential,337.02545998019195,28,30,17.72,Weekend,3011.3400110929574
Commercial,5786.894365001226,6,35,15.55,Weekday,3089.8930872962674
Industrial,23454.349034902152,15,11,11.29,Weekday,3687.5833917404875
Commercial,38888.05100233783,70,35,13.05,Weekend,5098.125717800493
Commercial,19290.625358773726,88,26,17.36,Weekend,4748.829170057306
Commercial,4270.192649376966,46,41,13.13,Weekday,3881.018356184535
Commercial,0.0,21,17,29.93,Weekend,1765.7768871906005
Residential,4214.694551106359,83,13,23.67,Weekday,2373.379491230765
Industrial,5345.804105704613,3,12,28.85,Weekday,2364.3770944347584
Industrial,0.0,39,41,15.77,Weekday,3785.874098613392
Commercial,10133.923470857093,84,29,17.2,Weekday,3959.21734301789
Residential,28658.829569109937,75,24,33.11,Weekend,4126.954129649982
Commercial,18046.765338095676,77,34,33.56,Weekend,4214.267230146981
Residential,0.0,32,15,26.19,Weekday,2660.6567475825636
Residential,13470.930117948876,64,42,23.14,Weekend,3519.222694703413
Residential,28468.648786248283,10,17,24.49,Weekday,3763.1767975296298
Residential,33632.39527328512,41,1,26.97,Weekday,3234.2369346131877
Residential,22799.75906010888,66,1,29.74,Weekday,3381.882429001525
Residential,39575.68292884968,86,31,18.88,Weekend,4783.757054785691
Commercial,40043.87918019278,30,32,20.36,Weekend,4734.874910365866
Industrial,49250.50256285632,82,20,23.44,Weekday,6160.354582812092
Industrial,22032.3851211323,60,30,13.61,Weekend,4939.916843830948
Commercial,24489.51336349621,3,37,27.75,Weekday,3237.8875903141184
Residential,45956.54875550522,82,41,16.32,Weekday,4622.486077564254
Industrial,46160.03595653502,83,31,26.67,Weekday,7093.0093207784485
Residential,8138.292985918394,73,35,19.29,Weekday,3069.640991783524
Commercial,21186.25035014763,2,49,30.66,Weekday,4038.25284673339
Industrial,42232.54068405365,75,21,28.17,Weekday,4914.515312858697
Industrial,13307.648759111313,19,36,22.89,Weekend,3502.305207984531
Residential,47282.472904055096,73,2,14.29,Weekend,4219.947418911534
Commercial,14122.031579428123,46,10,18.4,Weekday,3850.178016828717
Residential,2115.4883664489553,15,4,12.87,Weekday,1027.294092257202
Commercial,13316.177734166307,35,4,24.93,Weekday,3316.4875421262223
Commercial,18340.060247286783,40,4,14.57,Weekend,2527.339075524459
Commercial,1722.3146665682561,5,36,33.46,Weekend,3332.0222403482585
Commercial,27402.296366893097,50,40,25.81,Weekend,3978.8711896750024
Commercial,11351.076306753315,60,48,31.53,Weekday,3543.9950705593715
Commercial,13702.790955802739,15,39,28.75,Weekend,2982.528899389206
Commercial,45173.03751835483,15,49,10.43,Weekend,4836.541221051998
Residential,21874.73937512972,93,3,32.87,Weekday,3701.659869715529
Residential,43474.90191963396,12,12,18.68,Weekday,3797.7130619788654
Residential,41299.75553326259,70,22,23.91,Weekday,4245.695130613752
Commercial,6056.648916038121,82,46,13.2,Weekend,4577.392677245423
Commercial,28701.476650536937,16,41,31.63,Weekend,3771.4213702596035
Residential,11274.239926561888,66,4,14.36,Weekend,3031.7256569510273
Residential,43532.10575819646,12,13,29.68,Weekend,3751.387387116243
Industrial,570.0622388241154,5,34,29.59,Weekend,3278.5390858415535
Industrial,35450.87663660997,86,10,15.01,Weekday,4527.96784843583
Commercial,53203.619628020766,68,4,33.33,Weekday,5017.377933725236
Residential,20303.375437000745,58,24,27.49,Weekend,3618.312008883491
Industrial,22066.31209472989,54,47,32.58,Weekend,4652.438253975158
Residential,21765.832163061456,65,27,22.5,Weekend,3492.5792800493746
Industrial,5308.24720930848,21,25,32.25,Weekday,3047.3780721775756
Residential,23945.454410379083,21,8,17.75,Weekend,2520.3991648354436
Industrial,30931.089245333842,2,39,23.03,Weekday,4819.585655525446
Industrial,33821.027540270996,72,40,10.71,Weekend,5430.225445484685
Commercial,27335.200943521,16,44,32.34,Weekday,4496.717598010815
Commercial,4458.3197513903215,42,27,15.63,Weekday,3360.177601731498
Residential,41701.53473727254,95,1,31.98,Weekday,4811.552313747074
Commercial,19358.1292539961,95,8,29.74,Weekday,4064.701955555469
